-440,20428,-8524,15638,-3107,4324
5480,16736,-8876,-1715,-9317,3912
-2348,13688,-6304,6760,-7439,-2699
-3164,10240,-7980,5109,-5472,-3158
-2652,11912,-10820,-1442,58,3334
-1076,15556,-9520,-4975,-673,1492
-5388,14528,-6392,-4873,-1086,4429
1720,14524,-10876,-2948,-1767,6857
2252,18140,-9156,-10233,-400,8357
2408,21112,424,-12110,1962,6649
12140,19456,3280,-6801,8541,-2046
8676,20484,436,-871,-3788,-1738
-1652,22640,544,-4546,-1830,-2524
-6120,27592,2668,-4405,1584,-6583
-1876,25892,3624,-2176,1911,-214
-724,22468,4656,254,-2043,5289
1132,26032,9204,6705,-8825,1848
3808,26976,2840,4418,-17474,9474
2260,20916,-3844,7204,-16676,4881
8364,17064,-1976,3897,-5743,-5642
11188,20220,96,-789,-200,-10714
2372,16888,3852,-649,3393,-15161
-1116,15796,2088,4578,-55,-3238
-2388,16612,-2300,2602,-853,-3623
-1232,13732,-5960,-534,-2880,1527
-5520,15108,-2492,3912,-2780,-1741
-3520,15556,-3500,711,1325,412
-6080,13820,-2792,87,760,512
-5664,11328,-2832,2113,-1183,11745
2608,15548,1436,-1520,5194,11286
7400,18148,-2984,-5667,7614,5352
6708,24048,7004,-7750,7835,-4841
-80,23796,5416,5002,12191,-12776
2392,25120,3500,-6378,8241,-9696
-3124,23048,4712,-2640,1854,-2474
-1000,21960,996,611,-346,1748
-2696,23120,1352,-86,1759,226
180,24476,2888,1457,-2612,4779
1388,22888,-168,5851,-167,7066
1612,22428,-412,6902,-2898,3274
7160,20744,-692,8381,-7172,-3100
5408,19296,-764,4677,-13789,3896
3056,14552,1540,11890,-6284,-11931
-492,12484,-124,11132,-5180,-11859
-5152,12192,-3692,8014,-8187,-5710
-5408,13668,-5244,6316,-2507,-5802
-6152,14276,-7856,2773,2425,-2035
-6480,11716,-2552,1742,5210,-2589
-8684,6268,-2980,1482,-2300,1850
-1416,8580,-1220,-10169,11541,14054
2604,17528,-3200,-20210,11482,13335
-1808,24472,-3724,-16936,7989,-4151
-2032,25284,2516,-10006,3392,-9853
-1,-1,-1,-1,-1,-1
-5128,23676,2716,4309,-4400,-1357
352,21492,692,543,-4094,7224
-1120,26056,5460,5576,-87,5632
1068,24496,-2304,13594,4135,1443
512,21980,-7252,13829,-3509,5463
8644,19352,-8000,4577,-3201,-683
-2812,18228,-8780,5643,1549,-5373
-3252,15372,-6628,13141,6354,368
600,9596,-13348,11068,6345,655
-3092,9856,-17684,6809,-2235,1554
2352,12040,-14652,-2563,578,2586
2800,15752,-13644,-4376,-494,805
-1420,13200,-12460,-7834,-5680,1920
-1476,10452,-12180,-14965,-7792,13779
5724,14684,-5756,-9657,-3349,7987
11332,19532,-5060,-10830,2140,5608
15380,21376,4236,-12855,11152,-15
12816,24064,13712,-4942,3512,-13392
1532,27880,14504,-5311,-12064,-15104
-3992,24944,856,3000,-3225,-6694
-360,20324,5424,-1939,-1228,1188
-468,22308,5196,-1057,-264,3559
1488,26960,9396,4248,-1519,5583
5564,25568,6192,14688,-6843,5342
1784,22748,-976,12515,536,-416
