4836,22688,-784,789,-595,12
5092,22552,-1212,201,43,-45
4656,22396,-920,106,465,-21
6496,25980,1528,4484,-8269,1520
10548,27184,3008,2311,-32768,19554
8412,17092,-4664,18521,-32768,4286
11108,15724,-8604,4726,-32768,8227
11468,21140,28920,-25368,-19273,-16032
1364,26444,4540,514,3658,-2143
-884,24164,3164,-1234,3133,-3380
1236,23472,4572,4527,15298,-6531
5752,20444,272,-227,31311,-3931
6492,21800,-1292,-9836,32767,2116
13020,25292,2964,-10216,32767,2452
16908,26276,8836,-8818,25923,4321
12944,26052,8580,4482,10705,-1228
5004,23388,-1012,4249,-3324,574
6276,24068,-3616,-2090,-2644,2115
8512,24888,3360,2455,-13195,3139
11164,25652,3172,-1717,-32768,8197
15524,23996,-564,2374,-32768,21347
23252,19736,-3636,5379,-32768,2698
536,9396,3236,-14406,-24615,-4332
3152,32767,19920,-9581,1771,-6229
19260,19248,-3372,4175,-73,3173
15072,24768,1480,-132,7055,1638
14344,21772,6444,1388,22654,606
6588,25968,5872,-2703,28090,-5990
4948,25372,6124,-3183,32767,-5640
9732,21576,-1764,-4982,32767,3229
12612,21520,1428,-6921,26458,124
8936,21600,5532,-2387,14895,-2311
6144,21500,-1472,3779,1844,439
7792,19888,-2716,167,-4237,-86
5532,21900,-1788,-2139,-2895,1109
9408,24752,5108,4931,-14444,-1076
15516,28060,5840,6396,-31749,1741
15852,24716,-2644,9738,-32768,5641
17588,16076,-8376,12455,-32768,3968
10188,14976,16084,-17704,-27020,1148
4916,32767,10520,-5793,-7961,-8476
7528,20396,-2016,979,-30,-1028
8984,27564,3172,1474,4735,-3004
7260,21324,4580,4573,21490,-5563
5900,19840,2340,1951,30174,676
9148,22808,304,-4157,32767,6514
14396,25600,396,-6008,32767,1929
18712,24792,3388,-7778,26461,7581
17920,18768,468,3451,8251,-1723
3328,25536,-1992,3084,5580,-4371
6536,24304,-180,2387,-3007,71
6880,23180,-2696,714,-14123,3115
13484,23556,2584,-4516,-26559,5040
14960,25240,-1400,6396,-32768,2109
9304,20664,-4880,5210,-32768,2110
4936,12428,-5012,5627,-32768,10601
5164,32767,24792,-18008,-11634,-18127
20572,15472,-6352,5858,655,16842
10032,22908,908,2947,4431,3862
7408,21236,4984,2553,21462,3015
5420,21592,4080,-3294,23983,4529
5392,24472,5104,-6660,30928,2920
8184,24432,2560,-6767,32767,5871
21104,25268,5124,-1948,25759,3682
21380,23708,7208,4551,21661,-1370
9748,21984,-724,6789,856,-5977
8620,18968,-8420,2212,-873,-888
10392,21552,-800,1634,-4210,349
23420,25956,-824,2667,-26811,-4165
24768,30592,2532,573,-32768,2299
14248,28744,4160,12969,-32768,-2295
1736,17908,-132,16085,-32768,14861
9460,19692,12436,-17846,-22707,13632
12596,28508,5140,-3454,-4493,-14957
9976,21632,-1816,-911,-186,-4872
4852,23192,5124,1866,10061,-10233
2780,20360,6728,777,32767,-6179
6196,20060,1740,-4977,32767,5462
10092,24276,2424,-3168,32767,693
19692,24116,3076,629,32767,5043
26236,24280,9040,5361,15760,-1444
12368,27852,4764,12628,2247,-8072
10716,26952,880,2144,917,-4385
9064,26784,-184,3664,77,-248
10740,24060,-52,783,-3073,2335
15612,25936,-1200,11637,-32768,7976
11120,18256,-10880,5830,-32768,20837
6752,15372,-11228,6012,-32768,15356
19748,10652,-13212,1668,-29965,8175
25396,32767,32400,-16578,-5914,-8796
24764,15392,-2232,3718,1152,10382
12704,24252,1636,-2048,-469,-389
5888,22936,5624,-2252,19203,-5727
616,19016,3636,-326,32767,-7963
4328,19660,1640,-1143,32585,5210
7096,19576,-2396,-4745,30666,10126
8748,23408,3132,1544,-4681,-1339
11900,25040,6228,-147,-21510,-5342
1796,13696,7412,4456,-32768,-31390
11280,18516,15208,-1094,-32768,-1855
15096,25192,-664,9571,-32768,-5330
13936,19660,-664,-2936,-19624,-5632
20288,14668,9960,-16464,-11451,-666
10260,18560,23008,-7007,-8213,-5337
8708,16872,11732,4960,342,3203
13532,20172,7556,6436,6467,-3405
7888,21000,8024,1854,23987,-4241
4864,18864,2316,3100,32767,1452
404,19800,9232,-7110,32767,13651
-896,22032,3268,-14028,32767,11550
5900,22048,3368,-717,24369,13620
10352,22736,11220,2053,10395,8710
10560,23296,-152,2702,1075,1220
10076,21624,-1144,3153,-406,-1814
9548,23004,1744,-1885,-3067,-2989
16512,25772,9840,-12623,-25616,-7068
10828,19352,10640,-18302,-32768,-11504
16196,18116,14660,10489,-32768,-11979
18560,23676,4888,-5237,-32768,1711
17904,26556,5960,-2785,-11220,-10250
20604,11080,13044,-16959,6131,7777
9120,20420,17648,-3240,1177,-4348
11088,19968,5420,5168,1278,3981
13744,21948,5540,607,5506,-1265
6752,21240,9956,-63,23205,-6153
4008,17532,13260,-1940,32767,-6891
-664,20220,6876,-7247,32767,4452
-2960,21240,3320,-7759,30522,10718
6756,20524,9088,-14315,23799,10023
10080,25924,6216,-7389,6230,1993
7060,23424,956,4082,516,1988
9084,21528,1572,-1744,-713,2365
9192,21648,2160,608,-3564,-1549
14932,20752,11824,8522,-28256,-14628
9676,16808,14292,-5407,-32768,-15826
12044,20192,8556,18538,-32768,-3714
16632,25504,-4832,9691,-25375,4102
13156,23568,5856,3663,-12660,1643
12108,19868,9492,-12364,-6553,8272
9060,20696,10284,1622,-950,-991
11936,17360,3632,-88,4595,2376
11400,20732,4156,-1629,7739,-4310
2196,21020,8892,4045,18311,-7905
4984,19912,1120,3280,20975,-3887
2972,24604,2072,-289,28555,-4829
2312,23600,5604,422,30774,4120
7632,20336,5292,-5425,22238,5001
9868,22244,1940,-4962,13384,4987
5512,24464,532,-374,11288,5023
9392,21604,-280,1074,3760,2853
8300,21652,-984,-4003,-6690,-623
9000,19776,-2680,-8112,-23919,-5080
4416,16256,5680,-9793,-32768,1392
5848,30160,-9052,17885,-21316,-2981
11180,32124,-12448,10200,-16750,152
9020,24612,-3356,2497,-16011,-9018
7868,21624,7572,-9288,-6442,-1775
8596,19292,12480,-1598,-844,-6873
5536,18248,5448,4070,254,5976
11128,18836,6688,1771,1054,1494
11328,20312,11184,-270,7757,-5432
1216,17920,10376,-1565,32767,-6702
-1476,20468,10248,-7012,32767,1774
1696,23796,-852,569,29945,4091
3348,21592,3368,-8691,26458,6317
6388,20936,3336,-14802,26053,6870
8260,21328,7144,-7563,14013,6196
9044,21176,2980,1944,9210,3012
6976,22344,2124,1642,2672,340
6012,23220,-1852,2440,-726,-228
11136,20864,1472,4821,-18898,-6555
-4884,22596,3752,455,-32768,-22028
16924,9372,15536,25208,-32768,-18249
13952,23932,1532,10349,-32768,-3690
12848,27124,3984,-782,-14064,-5516
18376,21260,4496,-1726,-783,9579
13372,18900,9988,2619,-6319,7964
11016,18764,4812,660,-1324,1894
13720,19164,4112,-2543,1543,-1598
12904,20812,6280,-13740,21650,-10030
-3408,19344,14112,-9071,32767,789
7984,17816,15460,3332,32767,5824
256,19960,15864,-13198,32767,11257
6540,20192,8456,-4473,23568,10104
6940,20264,4764,-4029,21011,10687
7500,20748,5136,-3845,3786,147
9024,20548,3932,3262,2063,313
6488,22320,2000,628,9,-914
6804,21704,2036,2546,-584,-1097
12236,20852,5996,583,-15151,-5285
-4132,21784,2344,-4972,-32768,-20820
