accelX,accelY,accelZ,gryoX,gyroY,gyroZ
11240,-11288,4776,3727,-10,2295
9468,-14468,4088,4988,-579,-535
13688,-10232,5232,1375,-1149,1252
16672,-8652,7024,-1996,1310,2131
13404,-7712,2912,-657,-1691,1794
14372,-7732,7328,-402,1682,-838
13748,-8136,5460,455,-710,-1455
14592,-9572,2480,-1244,1047,-2246
11972,-12456,2992,-1078,-673,-2074
5136,-10824,4028,-3818,2797,-3720
7676,-6260,2232,546,-3084,-2408
8460,184,1048,537,-1582,-2675
15896,-1832,4184,1570,-1006,2787
14808,-7816,7588,764,1977,-271
28544,-12800,3512,-937,4218,2296
14320,-13004,1816,493,-1753,-1907
14356,-11464,4264,-2328,1440,-377
14024,-9168,4692,-409,-493,-617
14196,-2208,1684,1238,3517,-5015
14788,-2436,-628,911,-571,-2018
14220,-9180,7272,-320,9560,-5887
17300,-8516,5852,-274,-3533,4282
22540,-11620,2584,-1824,-2673,-109
13192,-8056,4772,1325,-2546,-2062
14260,-7356,3476,-945,1797,923
16152,-8440,4856,52,413,1414
15184,-8824,4756,971,-252,572
15200,-11596,5428,-286,-193,1619
16280,-9160,3096,-193,550,302
13540,-2544,2944,-195,-10184,4713
12124,-5160,2704,-298,-6563,4744
5652,-5856,4640,2627,1098,574
8112,-16412,11084,3891,2388,-2469
19884,-12312,-1296,-3443,13668,5624
16580,-11756,8000,2312,-5797,266
15016,-10848,2688,-3389,226,-3455
