accelX,accelY,accelZ,gryoX,gyroY,gyroZ
7652,16448,4116,-10197,-7298,236
10576,8272,13828,-26269,-9280,-433
2520,-4224,21436,-28550,6442,-13510
904,-820,11728,-22459,8250,-16936
108,-2584,-812,-23335,5038,-13748
5316,-9796,1628,-7530,2380,-11718
10756,-32768,9292,9850,5010,-16278
2772,-18544,3452,-8104,-2584,11112
17788,-9724,3636,-7788,-3476,9039
8796,3672,3984,-4024,-853,599
10152,-2552,248,-1386,723,-6925
11504,-22372,1396,10657,1441,-7900
1100,-12740,-1780,1131,6741,-3744
9408,-13388,2312,-421,-5324,9714
4376,-11772,3648,10926,-7445,6523
3352,-11920,10288,22867,-13747,5913
-5516,-10660,17752,32767,-11918,7270
12560,2708,13204,32767,-8970,487
11280,7648,9820,17085,1395,-2338
1740,10452,8664,11176,6733,-5596
-568,16100,6748,4948,-2488,723
9636,18344,12524,-1771,-6187,-2466
